# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 2.04245E+04 2.04242E+04 3.20625E-01
4.00000E+00 5.00000E+00 1.67853E+04 1.67850E+04 3.39088E-01
5.00000E+00 6.00000E+00 1.37451E+04 1.37447E+04 3.39565E-01
6.00000E+00 7.00000E+00 1.12180E+04 1.12177E+04 3.27646E-01
7.00000E+00 8.00000E+00 9.12729E+03 9.12698E+03 3.07673E-01
8.00000E+00 9.00000E+00 7.40477E+03 7.40448E+03 2.82941E-01
9.00000E+00 1.00000E+01 5.99097E+03 5.99071E+03 2.55885E-01
1.00000E+01 1.10000E+01 4.83469E+03 4.83446E+03 2.28257E-01
1.10000E+01 1.20000E+01 3.89208E+03 3.89188E+03 2.01269E-01
1.20000E+01 1.30000E+01 3.12600E+03 3.12583E+03 1.75718E-01
1.30000E+01 1.40000E+01 2.50515E+03 2.50500E+03 1.52089E-01
1.40000E+01 1.50000E+01 2.00333E+03 2.00320E+03 1.30635E-01
1.50000E+01 1.60000E+01 1.59875E+03 1.59864E+03 1.11443E-01
1.60000E+01 1.70000E+01 1.27334E+03 1.27324E+03 9.44861E-02
1.70000E+01 1.80000E+01 1.01219E+03 1.01211E+03 7.96598E-02
1.80000E+01 1.90000E+01 8.03080E+02 8.03013E+02 6.68130E-02
1.90000E+01 2.00000E+01 6.35978E+02 6.35922E+02 5.57696E-02
2.00000E+01 2.10000E+01 5.02714E+02 5.02667E+02 4.63430E-02
2.10000E+01 2.20000E+01 3.96639E+02 3.96601E+02 3.83469E-02
2.20000E+01 2.30000E+01 3.12366E+02 3.12334E+02 3.16029E-02
2.30000E+01 2.40000E+01 2.45536E+02 2.45510E+02 2.59446E-02
2.40000E+01 2.50000E+01 1.92632E+02 1.92611E+02 2.12198E-02
2.50000E+01 2.60000E+01 1.50826E+02 1.50809E+02 1.72919E-02
2.60000E+01 2.70000E+01 1.17848E+02 1.17834E+02 1.40402E-02
2.70000E+01 2.80000E+01 9.18778E+01 9.18665E+01 1.13587E-02
2.80000E+01 2.90000E+01 7.14625E+01 7.14533E+01 9.15552E-03
2.90000E+01 3.00000E+01 5.54418E+01 5.54345E+01 7.35181E-03
