# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 6.16279E+01 3.60219E+00 5.80257E+01
4.00000E+00 5.00000E+00 7.29070E+01 3.35700E+00 6.95500E+01
5.00000E+00 6.00000E+00 8.23328E+01 3.12730E+00 7.92055E+01
6.00000E+00 7.00000E+00 9.00918E+01 2.91219E+00 8.71796E+01
7.00000E+00 8.00000E+00 9.63554E+01 2.71081E+00 9.36446E+01
8.00000E+00 9.00000E+00 1.01281E+02 2.52236E+00 9.87587E+01
9.00000E+00 1.00000E+01 1.05013E+02 2.34606E+00 1.02667E+02
1.00000E+01 1.10000E+01 1.07684E+02 2.18118E+00 1.05503E+02
1.10000E+01 1.20000E+01 1.09415E+02 2.02706E+00 1.07388E+02
1.20000E+01 1.30000E+01 1.10316E+02 1.88303E+00 1.08433E+02
1.30000E+01 1.40000E+01 1.10489E+02 1.74848E+00 1.08741E+02
1.40000E+01 1.50000E+01 1.10026E+02 1.62284E+00 1.08403E+02
1.50000E+01 1.60000E+01 1.09010E+02 1.50556E+00 1.07505E+02
1.60000E+01 1.70000E+01 1.07518E+02 1.39612E+00 1.06121E+02
1.70000E+01 1.80000E+01 1.05617E+02 1.29404E+00 1.04323E+02
1.80000E+01 1.90000E+01 1.03370E+02 1.19887E+00 1.02171E+02
1.90000E+01 2.00000E+01 1.00834E+02 1.11016E+00 9.97241E+01
2.00000E+01 2.10000E+01 9.80593E+01 1.02751E+00 9.70318E+01
2.10000E+01 2.20000E+01 9.50909E+01 9.50543E-01 9.41404E+01
2.20000E+01 2.30000E+01 9.19696E+01 8.78889E-01 9.10907E+01
2.30000E+01 2.40000E+01 8.87318E+01 8.12212E-01 8.79196E+01
2.40000E+01 2.50000E+01 8.54099E+01 7.50191E-01 8.46598E+01
2.50000E+01 2.60000E+01 8.20327E+01 6.92525E-01 8.13401E+01
2.60000E+01 2.70000E+01 7.86254E+01 6.38931E-01 7.79864E+01
2.70000E+01 2.80000E+01 7.52105E+01 5.89145E-01 7.46214E+01
2.80000E+01 2.90000E+01 7.18077E+01 5.42917E-01 7.12648E+01
2.90000E+01 3.00000E+01 6.84339E+01 5.00010E-01 6.79339E+01
