# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 4.50204E+01 3.59224E+01 9.09795E+00
4.00000E+00 5.00000E+00 4.22821E+01 3.18914E+01 1.03907E+01
5.00000E+00 6.00000E+00 3.95406E+01 2.82765E+01 1.12641E+01
6.00000E+00 7.00000E+00 3.68318E+01 2.50404E+01 1.17914E+01
7.00000E+00 8.00000E+00 3.41839E+01 2.21481E+01 1.20358E+01
8.00000E+00 9.00000E+00 3.16193E+01 1.95670E+01 1.20523E+01
9.00000E+00 1.00000E+01 2.91551E+01 1.72671E+01 1.18880E+01
1.00000E+01 1.10000E+01 2.68038E+01 1.52209E+01 1.15829E+01
1.10000E+01 1.20000E+01 2.45736E+01 1.34026E+01 1.11710E+01
1.20000E+01 1.30000E+01 2.24699E+01 1.17890E+01 1.06809E+01
1.30000E+01 1.40000E+01 2.04954E+01 1.03590E+01 1.01363E+01
1.40000E+01 1.50000E+01 1.86501E+01 9.09317E+00 9.55689E+00
1.50000E+01 1.60000E+01 1.69328E+01 7.97407E+00 8.95874E+00
1.60000E+01 1.70000E+01 1.53405E+01 6.98578E+00 8.35475E+00
1.70000E+01 1.80000E+01 1.38693E+01 6.11403E+00 7.75529E+00
1.80000E+01 1.90000E+01 1.25142E+01 5.34589E+00 7.16835E+00
1.90000E+01 2.00000E+01 1.12699E+01 4.66978E+00 6.60014E+00
2.00000E+01 2.10000E+01 1.01306E+01 4.07532E+00 6.05523E+00
2.10000E+01 2.20000E+01 9.09003E+00 3.55318E+00 5.53684E+00
2.20000E+01 2.30000E+01 8.14216E+00 3.09503E+00 5.04713E+00
2.30000E+01 2.40000E+01 7.28075E+00 2.69342E+00 4.58732E+00
2.40000E+01 2.50000E+01 6.49969E+00 2.34174E+00 4.15796E+00
2.50000E+01 2.60000E+01 5.79302E+00 2.03406E+00 3.75896E+00
2.60000E+01 2.70000E+01 5.15497E+00 1.76514E+00 3.38983E+00
2.70000E+01 2.80000E+01 4.58005E+00 1.53034E+00 3.04971E+00
2.80000E+01 2.90000E+01 4.06299E+00 1.32551E+00 2.73749E+00
2.90000E+01 3.00000E+01 3.59883E+00 1.14699E+00 2.45184E+00
