# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 2.67894E+00 1.92171E-01 2.48677E+00
4.00000E+00 5.00000E+00 3.20447E+00 1.81638E-01 3.02284E+00
5.00000E+00 6.00000E+00 3.66325E+00 1.71632E-01 3.49162E+00
6.00000E+00 7.00000E+00 4.06053E+00 1.62129E-01 3.89840E+00
7.00000E+00 8.00000E+00 4.40123E+00 1.53107E-01 4.24813E+00
8.00000E+00 9.00000E+00 4.68997E+00 1.44542E-01 4.54543E+00
9.00000E+00 1.00000E+01 4.93105E+00 1.36413E-01 4.79464E+00
1.00000E+01 1.10000E+01 5.12851E+00 1.28700E-01 4.99981E+00
1.10000E+01 1.20000E+01 5.28610E+00 1.21383E-01 5.16472E+00
1.20000E+01 1.30000E+01 5.40735E+00 1.14443E-01 5.29291E+00
1.30000E+01 1.40000E+01 5.49553E+00 1.07863E-01 5.38767E+00
1.40000E+01 1.50000E+01 5.55370E+00 1.01625E-01 5.45208E+00
1.50000E+01 1.60000E+01 5.58471E+00 9.57133E-02 5.48900E+00
1.60000E+01 1.70000E+01 5.59122E+00 9.01116E-02 5.50111E+00
1.70000E+01 1.80000E+01 5.57568E+00 8.48054E-02 5.49088E+00
1.80000E+01 1.90000E+01 5.54038E+00 7.97801E-02 5.46060E+00
1.90000E+01 2.00000E+01 5.48746E+00 7.50223E-02 5.41243E+00
2.00000E+01 2.10000E+01 5.41887E+00 7.05190E-02 5.34835E+00
2.10000E+01 2.20000E+01 5.33645E+00 6.62576E-02 5.27019E+00
2.20000E+01 2.30000E+01 5.24189E+00 6.22265E-02 5.17966E+00
2.30000E+01 2.40000E+01 5.13674E+00 5.84142E-02 5.07832E+00
2.40000E+01 2.50000E+01 5.02245E+00 5.48099E-02 4.96764E+00
2.50000E+01 2.60000E+01 4.90034E+00 5.14034E-02 4.84893E+00
2.60000E+01 2.70000E+01 4.77163E+00 4.81847E-02 4.72344E+00
2.70000E+01 2.80000E+01 4.63744E+00 4.51444E-02 4.59230E+00
2.80000E+01 2.90000E+01 4.49880E+00 4.22737E-02 4.45653E+00
2.90000E+01 3.00000E+01 4.35666E+00 3.95639E-02 4.31709E+00
