# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 2.07024E+01 7.95725E+00 1.27451E+01
4.00000E+00 5.00000E+00 2.27075E+01 7.42070E+00 1.52868E+01
5.00000E+00 6.00000E+00 2.43387E+01 6.91772E+00 1.74210E+01
6.00000E+00 7.00000E+00 2.56346E+01 6.44638E+00 1.91883E+01
7.00000E+00 8.00000E+00 2.66305E+01 6.00484E+00 2.06257E+01
8.00000E+00 9.00000E+00 2.73589E+01 5.59136E+00 2.17675E+01
9.00000E+00 1.00000E+01 2.78495E+01 5.20428E+00 2.26452E+01
1.00000E+01 1.10000E+01 2.81296E+01 4.84204E+00 2.32875E+01
1.10000E+01 1.20000E+01 2.82240E+01 4.50317E+00 2.37208E+01
1.20000E+01 1.30000E+01 2.81557E+01 4.18627E+00 2.39694E+01
1.30000E+01 1.40000E+01 2.79452E+01 3.89003E+00 2.40552E+01
1.40000E+01 1.50000E+01 2.76116E+01 3.61320E+00 2.39984E+01
1.50000E+01 1.60000E+01 2.71720E+01 3.35460E+00 2.38174E+01
1.60000E+01 1.70000E+01 2.66418E+01 3.11312E+00 2.35287E+01
1.70000E+01 1.80000E+01 2.60352E+01 2.88770E+00 2.31475E+01
1.80000E+01 1.90000E+01 2.53649E+01 2.67736E+00 2.26875E+01
1.90000E+01 2.00000E+01 2.46423E+01 2.48117E+00 2.21612E+01
2.00000E+01 2.10000E+01 2.38779E+01 2.29824E+00 2.15796E+01
2.10000E+01 2.20000E+01 2.30807E+01 2.12774E+00 2.09530E+01
2.20000E+01 2.30000E+01 2.22590E+01 1.96890E+00 2.02901E+01
2.30000E+01 2.40000E+01 2.14202E+01 1.82096E+00 1.95993E+01
2.40000E+01 2.50000E+01 2.05709E+01 1.68325E+00 1.88876E+01
2.50000E+01 2.60000E+01 1.97166E+01 1.55511E+00 1.81615E+01
2.60000E+01 2.70000E+01 1.88627E+01 1.43592E+00 1.74267E+01
2.70000E+01 2.80000E+01 1.80134E+01 1.32510E+00 1.66883E+01
2.80000E+01 2.90000E+01 1.71726E+01 1.22211E+00 1.59505E+01
2.90000E+01 3.00000E+01 1.63439E+01 1.12645E+00 1.52174E+01
