# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 4.04710E+02 4.02875E+02 1.83522E+00
6.00000E+00 7.00000E+00 3.81077E+02 3.79037E+02 2.04083E+00
7.00000E+00 8.00000E+00 3.58608E+02 3.56394E+02 2.21436E+00
8.00000E+00 9.00000E+00 3.37268E+02 3.34909E+02 2.35850E+00
9.00000E+00 1.00000E+01 3.17019E+02 3.14543E+02 2.47582E+00
1.00000E+01 1.10000E+01 2.97825E+02 2.95256E+02 2.56876E+00
1.10000E+01 1.20000E+01 2.79647E+02 2.77008E+02 2.63963E+00
1.20000E+01 1.30000E+01 2.62447E+02 2.59756E+02 2.69057E+00
1.30000E+01 1.40000E+01 2.46186E+02 2.43462E+02 2.72361E+00
1.40000E+01 1.50000E+01 2.30822E+02 2.28082E+02 2.74063E+00
1.50000E+01 1.60000E+01 2.16318E+02 2.13575E+02 2.74336E+00
1.60000E+01 1.70000E+01 2.02637E+02 1.99904E+02 2.73347E+00
1.70000E+01 1.80000E+01 1.89740E+02 1.87027E+02 2.71244E+00
1.80000E+01 1.90000E+01 1.77588E+02 1.74906E+02 2.68164E+00
1.90000E+01 2.00000E+01 1.66149E+02 1.63506E+02 2.64240E+00
2.00000E+01 2.10000E+01 1.55385E+02 1.52789E+02 2.59586E+00
2.10000E+01 2.20000E+01 1.45263E+02 1.42720E+02 2.54310E+00
2.20000E+01 2.30000E+01 1.35751E+02 1.33266E+02 2.48510E+00
2.30000E+01 2.40000E+01 1.26814E+02 1.24392E+02 2.42274E+00
2.40000E+01 2.50000E+01 1.18425E+02 1.16068E+02 2.35684E+00
2.50000E+01 2.60000E+01 1.10552E+02 1.08264E+02 2.28813E+00
2.60000E+01 2.70000E+01 1.03169E+02 1.00952E+02 2.21727E+00
2.70000E+01 2.80000E+01 9.62470E+01 9.41021E+01 2.14484E+00
2.80000E+01 2.90000E+01 8.97608E+01 8.76894E+01 2.07137E+00
2.90000E+01 3.00000E+01 8.36856E+01 8.16882E+01 1.99733E+00
