# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 2.28718E+00 1.63792E-02 2.27080E+00
6.00000E+00 7.00000E+00 2.24039E+00 1.35856E-02 2.22681E+00
7.00000E+00 8.00000E+00 2.13549E+00 1.12288E-02 2.12426E+00
8.00000E+00 9.00000E+00 1.99307E+00 9.25064E-03 1.98382E+00
9.00000E+00 1.00000E+01 1.82905E+00 7.59814E-03 1.82145E+00
1.00000E+01 1.10000E+01 1.65540E+00 6.22341E-03 1.64918E+00
1.10000E+01 1.20000E+01 1.48084E+00 5.08409E-03 1.47575E+00
1.20000E+01 1.30000E+01 1.31148E+00 4.14316E-03 1.30734E+00
1.30000E+01 1.40000E+01 1.15141E+00 3.36852E-03 1.14804E+00
1.40000E+01 1.50000E+01 1.00313E+00 2.73266E-03 1.00039E+00
1.50000E+01 1.60000E+01 8.67954E-01 2.21212E-03 8.65742E-01
1.60000E+01 1.70000E+01 7.46347E-01 1.78708E-03 7.44560E-01
1.70000E+01 1.80000E+01 6.38150E-01 1.44081E-03 6.36709E-01
1.80000E+01 1.90000E+01 5.42789E-01 1.15935E-03 5.41630E-01
1.90000E+01 2.00000E+01 4.59428E-01 9.31038E-04 4.58497E-01
2.00000E+01 2.10000E+01 3.87076E-01 7.46198E-04 3.86330E-01
2.10000E+01 2.20000E+01 3.24676E-01 5.96826E-04 3.24080E-01
2.20000E+01 2.30000E+01 2.71163E-01 4.76328E-04 2.70687E-01
2.30000E+01 2.40000E+01 2.25504E-01 3.79284E-04 2.25124E-01
2.40000E+01 2.50000E+01 1.86722E-01 3.01251E-04 1.86421E-01
2.50000E+01 2.60000E+01 1.53920E-01 2.38601E-04 1.53682E-01
2.60000E+01 2.70000E+01 1.26279E-01 1.88373E-04 1.26091E-01
2.70000E+01 2.80000E+01 1.03067E-01 1.48162E-04 1.02919E-01
2.80000E+01 2.90000E+01 8.36346E-02 1.16014E-04 8.35186E-02
2.90000E+01 3.00000E+01 6.74129E-02 9.03454E-05 6.73226E-02
