# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 4.56182E+02 4.56092E+02 8.97719E-02
6.00000E+00 7.00000E+00 4.25806E+02 4.25707E+02 9.90409E-02
7.00000E+00 8.00000E+00 3.97154E+02 3.97048E+02 1.06596E-01
8.00000E+00 9.00000E+00 3.70162E+02 3.70049E+02 1.12604E-01
9.00000E+00 1.00000E+01 3.44765E+02 3.44648E+02 1.17220E-01
1.00000E+01 1.10000E+01 3.20897E+02 3.20776E+02 1.20592E-01
1.10000E+01 1.20000E+01 2.98491E+02 2.98368E+02 1.22856E-01
1.20000E+01 1.30000E+01 2.77478E+02 2.77354E+02 1.24139E-01
1.30000E+01 1.40000E+01 2.57790E+02 2.57665E+02 1.24557E-01
1.40000E+01 1.50000E+01 2.39363E+02 2.39239E+02 1.24220E-01
1.50000E+01 1.60000E+01 2.22130E+02 2.22006E+02 1.23225E-01
1.60000E+01 1.70000E+01 2.06026E+02 2.05904E+02 1.21664E-01
1.70000E+01 1.80000E+01 1.90993E+02 1.90873E+02 1.19619E-01
1.80000E+01 1.90000E+01 1.76967E+02 1.76850E+02 1.17166E-01
1.90000E+01 2.00000E+01 1.63892E+02 1.63778E+02 1.14373E-01
2.00000E+01 2.10000E+01 1.51712E+02 1.51600E+02 1.11300E-01
2.10000E+01 2.20000E+01 1.40372E+02 1.40264E+02 1.08002E-01
2.20000E+01 2.30000E+01 1.29823E+02 1.29718E+02 1.04528E-01
2.30000E+01 2.40000E+01 1.20015E+02 1.19914E+02 1.00923E-01
2.40000E+01 2.50000E+01 1.10901E+02 1.10804E+02 9.72256E-02
2.50000E+01 2.60000E+01 1.02438E+02 1.02344E+02 9.34689E-02
2.60000E+01 2.70000E+01 9.45827E+01 9.44930E+01 8.96836E-02
2.70000E+01 2.80000E+01 8.72963E+01 8.72104E+01 8.58957E-02
2.80000E+01 2.90000E+01 8.05407E+01 8.04585E+01 8.21280E-02
2.90000E+01 3.00000E+01 7.42804E+01 7.42020E+01 7.83998E-02
