# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 2.21785E+03 2.21729E+03 5.62010E-01
4.00000E+00 5.00000E+00 2.09124E+03 2.09056E+03 6.81476E-01
5.00000E+00 6.00000E+00 1.97127E+03 1.97048E+03 7.85209E-01
6.00000E+00 7.00000E+00 1.85762E+03 1.85674E+03 8.74506E-01
7.00000E+00 8.00000E+00 1.74998E+03 1.74903E+03 9.50578E-01
8.00000E+00 9.00000E+00 1.64805E+03 1.64704E+03 1.01455E+00
9.00000E+00 1.00000E+01 1.55156E+03 1.55049E+03 1.06748E+00
1.00000E+01 1.10000E+01 1.46024E+03 1.45913E+03 1.11035E+00
1.10000E+01 1.20000E+01 1.37382E+03 1.37268E+03 1.14406E+00
1.20000E+01 1.30000E+01 1.29208E+03 1.29091E+03 1.16947E+00
1.30000E+01 1.40000E+01 1.21476E+03 1.21357E+03 1.18737E+00
1.40000E+01 1.50000E+01 1.14166E+03 1.14046E+03 1.19849E+00
1.50000E+01 1.60000E+01 1.07255E+03 1.07135E+03 1.20350E+00
1.60000E+01 1.70000E+01 1.00725E+03 1.00605E+03 1.20304E+00
1.70000E+01 1.80000E+01 9.45554E+02 9.44356E+02 1.19770E+00
1.80000E+01 1.90000E+01 8.87279E+02 8.86091E+02 1.18801E+00
1.90000E+01 2.00000E+01 8.32253E+02 8.31079E+02 1.17446E+00
2.00000E+01 2.10000E+01 7.80309E+02 7.79152E+02 1.15752E+00
2.10000E+01 2.20000E+01 7.31289E+02 7.30152E+02 1.13762E+00
2.20000E+01 2.30000E+01 6.85043E+02 6.83927E+02 1.11514E+00
2.30000E+01 2.40000E+01 6.41425E+02 6.40335E+02 1.09045E+00
2.40000E+01 2.50000E+01 6.00301E+02 5.99237E+02 1.06386E+00
2.50000E+01 2.60000E+01 5.61538E+02 5.60503E+02 1.03568E+00
2.60000E+01 2.70000E+01 5.25015E+02 5.24009E+02 1.00620E+00
2.70000E+01 2.80000E+01 4.90612E+02 4.89637E+02 9.75652E-01
2.80000E+01 2.90000E+01 4.58219E+02 4.57274E+02 9.44276E-01
2.90000E+01 3.00000E+01 4.27727E+02 4.26815E+02 9.12279E-01
