# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 1.49197E+03 1.49116E+03 8.03479E-01
6.00000E+00 7.00000E+00 1.35694E+03 1.35608E+03 8.63718E-01
7.00000E+00 8.00000E+00 1.23253E+03 1.23163E+03 9.05273E-01
8.00000E+00 9.00000E+00 1.11816E+03 1.11723E+03 9.30785E-01
9.00000E+00 1.00000E+01 1.01321E+03 1.01227E+03 9.42643E-01
1.00000E+01 1.10000E+01 9.17094E+02 9.16151E+02 9.43013E-01
1.10000E+01 1.20000E+01 8.29216E+02 8.28283E+02 9.33823E-01
1.20000E+01 1.30000E+01 7.49007E+02 7.48091E+02 9.16801E-01
1.30000E+01 1.40000E+01 6.75906E+02 6.75012E+02 8.93461E-01
1.40000E+01 1.50000E+01 6.09378E+02 6.08513E+02 8.65136E-01
1.50000E+01 1.60000E+01 5.48910E+02 5.48077E+02 8.32981E-01
1.60000E+01 1.70000E+01 4.94025E+02 4.93227E+02 7.98006E-01
1.70000E+01 1.80000E+01 4.44266E+02 4.43505E+02 7.61068E-01
1.80000E+01 1.90000E+01 3.99206E+02 3.98483E+02 7.22900E-01
1.90000E+01 2.00000E+01 3.58444E+02 3.57760E+02 6.84121E-01
2.00000E+01 2.10000E+01 3.21610E+02 3.20965E+02 6.45247E-01
2.10000E+01 2.20000E+01 2.88357E+02 2.87750E+02 6.06703E-01
2.20000E+01 2.30000E+01 2.58366E+02 2.57797E+02 5.68839E-01
2.30000E+01 2.40000E+01 2.31340E+02 2.30808E+02 5.31931E-01
2.40000E+01 2.50000E+01 2.07008E+02 2.06512E+02 4.96196E-01
2.50000E+01 2.60000E+01 1.85119E+02 1.84657E+02 4.61800E-01
2.60000E+01 2.70000E+01 1.65443E+02 1.65014E+02 4.28865E-01
2.70000E+01 2.80000E+01 1.47770E+02 1.47373E+02 3.97474E-01
2.80000E+01 2.90000E+01 1.31909E+02 1.31541E+02 3.67679E-01
2.90000E+01 3.00000E+01 1.17682E+02 1.17342E+02 3.39503E-01
