# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 1.17886E+03 1.13444E+03 4.44184E+01
4.00000E+00 5.00000E+00 8.94559E+02 8.51631E+02 4.29280E+01
5.00000E+00 6.00000E+00 6.74143E+02 6.34991E+02 3.91523E+01
6.00000E+00 7.00000E+00 5.04887E+02 4.70578E+02 3.43090E+01
7.00000E+00 8.00000E+00 3.75999E+02 3.46812E+02 2.91866E+01
8.00000E+00 9.00000E+00 2.78568E+02 2.54307E+02 2.42618E+01
9.00000E+00 1.00000E+01 2.05399E+02 1.85605E+02 1.97946E+01
1.00000E+01 1.10000E+01 1.50772E+02 1.34872E+02 1.59004E+01
1.10000E+01 1.20000E+01 1.10206E+02 9.76023E+01 1.26039E+01
1.20000E+01 1.30000E+01 8.02290E+01 7.03532E+01 9.87582E+00
1.30000E+01 1.40000E+01 5.81766E+01 5.05175E+01 7.65911E+00
1.40000E+01 1.50000E+01 4.20219E+01 3.61370E+01 5.88487E+00
1.50000E+01 1.60000E+01 3.02342E+01 2.57513E+01 4.48285E+00
1.60000E+01 1.70000E+01 2.16647E+01 1.82776E+01 3.38709E+00
1.70000E+01 1.80000E+01 1.54570E+01 1.29180E+01 2.53893E+00
1.80000E+01 1.90000E+01 1.09753E+01 9.08730E+00 1.88803E+00
1.90000E+01 2.00000E+01 7.75066E+00 6.35827E+00 1.39238E+00
2.00000E+01 2.10000E+01 5.43803E+00 4.42043E+00 1.01760E+00
2.10000E+01 2.20000E+01 3.78502E+00 3.04896E+00 7.36058E-01
2.20000E+01 2.30000E+01 2.60756E+00 2.08170E+00 5.25864E-01
2.30000E+01 2.40000E+01 1.77189E+00 1.40203E+00 3.69858E-01
2.40000E+01 2.50000E+01 1.18118E+00 9.26440E-01 2.54743E-01
2.50000E+01 2.60000E+01 7.65532E-01 5.95233E-01 1.70299E-01
2.60000E+01 2.70000E+01 4.74626E-01 3.65891E-01 1.08735E-01
2.70000E+01 2.80000E+01 2.72364E-01 2.08210E-01 6.41539E-02
2.80000E+01 2.90000E+01 1.32007E-01 1.00115E-01 3.18920E-02
2.90000E+01 3.00000E+01 3.01851E-02 2.27672E-02 7.41794E-03
