# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 7.86239E+01 7.84552E+01 1.68776E-01
4.00000E+00 5.00000E+00 7.41602E+01 7.39556E+01 2.04611E-01
5.00000E+00 6.00000E+00 6.99291E+01 6.96934E+01 2.35708E-01
6.00000E+00 7.00000E+00 6.59193E+01 6.56568E+01 2.62458E-01
7.00000E+00 8.00000E+00 6.21201E+01 6.18349E+01 2.85230E-01
8.00000E+00 9.00000E+00 5.85213E+01 5.82169E+01 3.04362E-01
9.00000E+00 1.00000E+01 5.51130E+01 5.47928E+01 3.20172E-01
1.00000E+01 1.10000E+01 5.18860E+01 5.15531E+01 3.32959E-01
1.10000E+01 1.20000E+01 4.88314E+01 4.84884E+01 3.42996E-01
1.20000E+01 1.30000E+01 4.59406E+01 4.55901E+01 3.50539E-01
1.30000E+01 1.40000E+01 4.32056E+01 4.28497E+01 3.55827E-01
1.40000E+01 1.50000E+01 4.06186E+01 4.02595E+01 3.59080E-01
1.50000E+01 1.60000E+01 3.81722E+01 3.78117E+01 3.60505E-01
1.60000E+01 1.70000E+01 3.58595E+01 3.54992E+01 3.60290E-01
1.70000E+01 1.80000E+01 3.36737E+01 3.33151E+01 3.58611E-01
1.80000E+01 1.90000E+01 3.16084E+01 3.12528E+01 3.55631E-01
1.90000E+01 2.00000E+01 2.96575E+01 2.93060E+01 3.51499E-01
2.00000E+01 2.10000E+01 2.78152E+01 2.74689E+01 3.46354E-01
2.10000E+01 2.20000E+01 2.60760E+01 2.57357E+01 3.40323E-01
2.20000E+01 2.30000E+01 2.44346E+01 2.41011E+01 3.33524E-01
2.30000E+01 2.40000E+01 2.28859E+01 2.25599E+01 3.26065E-01
2.40000E+01 2.50000E+01 2.14253E+01 2.11072E+01 3.18044E-01
2.50000E+01 2.60000E+01 2.00480E+01 1.97384E+01 3.09551E-01
2.60000E+01 2.70000E+01 1.87498E+01 1.84491E+01 3.00670E-01
2.70000E+01 2.80000E+01 1.75265E+01 1.72351E+01 2.91477E-01
2.80000E+01 2.90000E+01 1.63743E+01 1.60923E+01 2.82039E-01
2.90000E+01 3.00000E+01 1.52894E+01 1.50169E+01 2.72421E-01
