# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 6.88820E+03 6.88787E+03 3.24008E-01
4.00000E+00 5.00000E+00 6.43486E+03 6.43447E+03 3.89288E-01
5.00000E+00 6.00000E+00 6.00919E+03 6.00875E+03 4.44405E-01
6.00000E+00 7.00000E+00 5.60963E+03 5.60914E+03 4.90341E-01
7.00000E+00 8.00000E+00 5.23471E+03 5.23418E+03 5.28003E-01
8.00000E+00 9.00000E+00 4.88300E+03 4.88244E+03 5.58226E-01
9.00000E+00 1.00000E+01 4.55319E+03 4.55260E+03 5.81776E-01
1.00000E+01 1.10000E+01 4.24400E+03 4.24340E+03 5.99360E-01
1.10000E+01 1.20000E+01 3.95424E+03 3.95363E+03 6.11627E-01
1.20000E+01 1.30000E+01 3.68278E+03 3.68217E+03 6.19172E-01
1.30000E+01 1.40000E+01 3.42856E+03 3.42794E+03 6.22539E-01
1.40000E+01 1.50000E+01 3.19055E+03 3.18993E+03 6.22228E-01
1.50000E+01 1.60000E+01 2.96781E+03 2.96719E+03 6.18693E-01
1.60000E+01 1.70000E+01 2.75941E+03 2.75880E+03 6.12351E-01
1.70000E+01 1.80000E+01 2.56452E+03 2.56392E+03 6.03579E-01
1.80000E+01 1.90000E+01 2.38231E+03 2.38172E+03 5.92719E-01
1.90000E+01 2.00000E+01 2.21203E+03 2.21145E+03 5.80084E-01
2.00000E+01 2.10000E+01 2.05294E+03 2.05238E+03 5.65958E-01
2.10000E+01 2.20000E+01 1.90438E+03 1.90383E+03 5.50594E-01
2.20000E+01 2.30000E+01 1.76569E+03 1.76516E+03 5.34224E-01
2.30000E+01 2.40000E+01 1.63628E+03 1.63576E+03 5.17054E-01
2.40000E+01 2.50000E+01 1.51556E+03 1.51506E+03 4.99269E-01
2.50000E+01 2.60000E+01 1.40299E+03 1.40251E+03 4.81034E-01
2.60000E+01 2.70000E+01 1.29808E+03 1.29762E+03 4.62499E-01
2.70000E+01 2.80000E+01 1.20033E+03 1.19989E+03 4.43795E-01
2.80000E+01 2.90000E+01 1.10930E+03 1.10888E+03 4.25036E-01
2.90000E+01 3.00000E+01 1.02457E+03 1.02416E+03 4.06327E-01
