# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 5.79925E+03 5.79889E+03 3.66946E-01
4.00000E+00 5.00000E+00 5.40092E+03 5.40048E+03 4.39526E-01
5.00000E+00 6.00000E+00 5.02798E+03 5.02748E+03 5.00200E-01
6.00000E+00 7.00000E+00 4.67896E+03 4.67841E+03 5.50175E-01
7.00000E+00 8.00000E+00 4.35242E+03 4.35183E+03 5.90559E-01
8.00000E+00 9.00000E+00 4.04704E+03 4.04642E+03 6.22368E-01
9.00000E+00 1.00000E+01 3.76154E+03 3.76090E+03 6.46535E-01
1.00000E+01 1.10000E+01 3.49473E+03 3.49407E+03 6.63913E-01
1.10000E+01 1.20000E+01 3.24547E+03 3.24480E+03 6.75282E-01
1.20000E+01 1.30000E+01 3.01271E+03 3.01203E+03 6.81356E-01
1.30000E+01 1.40000E+01 2.79542E+03 2.79474E+03 6.82784E-01
1.40000E+01 1.50000E+01 2.59267E+03 2.59199E+03 6.80157E-01
1.50000E+01 1.60000E+01 2.40353E+03 2.40286E+03 6.74011E-01
1.60000E+01 1.70000E+01 2.22717E+03 2.22651E+03 6.64834E-01
1.70000E+01 1.80000E+01 2.06280E+03 2.06214E+03 6.53066E-01
1.80000E+01 1.90000E+01 1.90965E+03 1.90901E+03 6.39108E-01
1.90000E+01 2.00000E+01 1.76701E+03 1.76639E+03 6.23318E-01
2.00000E+01 2.10000E+01 1.63422E+03 1.63362E+03 6.06019E-01
2.10000E+01 2.20000E+01 1.51065E+03 1.51006E+03 5.87499E-01
2.20000E+01 2.30000E+01 1.39570E+03 1.39513E+03 5.68020E-01
2.30000E+01 2.40000E+01 1.28881E+03 1.28827E+03 5.47811E-01
2.40000E+01 2.50000E+01 1.18947E+03 1.18894E+03 5.27079E-01
2.50000E+01 2.60000E+01 1.09718E+03 1.09667E+03 5.06005E-01
2.60000E+01 2.70000E+01 1.01147E+03 1.01099E+03 4.84752E-01
2.70000E+01 2.80000E+01 9.31920E+02 9.31456E+02 4.63460E-01
2.80000E+01 2.90000E+01 8.58111E+02 8.57669E+02 4.42253E-01
2.90000E+01 3.00000E+01 7.89662E+02 7.89241E+02 4.21237E-01
