# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 2.68835E+02 2.68003E+02 8.31747E-01
6.00000E+00 7.00000E+00 1.91209E+02 1.90510E+02 6.99228E-01
7.00000E+00 8.00000E+00 1.34983E+02 1.34413E+02 5.69527E-01
8.00000E+00 9.00000E+00 9.46438E+01 9.41913E+01 4.52494E-01
9.00000E+00 1.00000E+01 6.59421E+01 6.55898E+01 3.52275E-01
1.00000E+01 1.10000E+01 4.56694E+01 4.53999E+01 2.69574E-01
1.10000E+01 1.20000E+01 3.14433E+01 3.12401E+01 2.03206E-01
1.20000E+01 1.30000E+01 2.15183E+01 2.13672E+01 1.51099E-01
1.30000E+01 1.40000E+01 1.46307E+01 1.45198E+01 1.10907E-01
1.40000E+01 1.50000E+01 9.87389E+00 9.79353E+00 8.03575E-02
1.50000E+01 1.60000E+01 6.60331E+00 6.54589E+00 5.74195E-02
1.60000E+01 1.70000E+01 4.36386E+00 4.32349E+00 4.03743E-02
1.70000E+01 1.80000E+01 2.83639E+00 2.80857E+00 2.78177E-02
1.80000E+01 1.90000E+01 1.79835E+00 1.77972E+00 1.86342E-02
1.90000E+01 2.00000E+01 1.09545E+00 1.08349E+00 1.19564E-02
2.00000E+01 2.10000E+01 6.21147E-01 6.14026E-01 7.12120E-03
2.10000E+01 2.20000E+01 3.02233E-01 2.98603E-01 3.62910E-03
2.20000E+01 2.30000E+01 7.36399E-02 7.27220E-02 9.09320E-04
2.30000E+01 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.40000E+01 2.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.50000E+01 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.60000E+01 2.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.70000E+01 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.80000E+01 2.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.90000E+01 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
