# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 1.55142E-02 1.35117E-04 1.53791E-02
6.00000E+00 7.00000E+00 1.79315E-02 1.32315E-04 1.77992E-02
7.00000E+00 8.00000E+00 2.02408E-02 1.29564E-04 2.01113E-02
8.00000E+00 9.00000E+00 2.24451E-02 1.26863E-04 2.23182E-02
9.00000E+00 1.00000E+01 2.45474E-02 1.24212E-04 2.44231E-02
1.00000E+01 1.10000E+01 2.65505E-02 1.21609E-04 2.64289E-02
1.10000E+01 1.20000E+01 2.84574E-02 1.19055E-04 2.83383E-02
1.20000E+01 1.30000E+01 3.02708E-02 1.16548E-04 3.01543E-02
1.30000E+01 1.40000E+01 3.19936E-02 1.14088E-04 3.18795E-02
1.40000E+01 1.50000E+01 3.36284E-02 1.11674E-04 3.35168E-02
1.50000E+01 1.60000E+01 3.51779E-02 1.09305E-04 3.50686E-02
1.60000E+01 1.70000E+01 3.66447E-02 1.06982E-04 3.65377E-02
1.70000E+01 1.80000E+01 3.80313E-02 1.04702E-04 3.79266E-02
1.80000E+01 1.90000E+01 3.93402E-02 1.02466E-04 3.92377E-02
1.90000E+01 2.00000E+01 4.05738E-02 1.00272E-04 4.04735E-02
2.00000E+01 2.10000E+01 4.17346E-02 9.81212E-05 4.16365E-02
2.10000E+01 2.20000E+01 4.28248E-02 9.60116E-05 4.27288E-02
2.20000E+01 2.30000E+01 4.38468E-02 9.39427E-05 4.37528E-02
2.30000E+01 2.40000E+01 4.48026E-02 9.19140E-05 4.47107E-02
2.40000E+01 2.50000E+01 4.56946E-02 8.99249E-05 4.56047E-02
2.50000E+01 2.60000E+01 4.65248E-02 8.79748E-05 4.64369E-02
2.60000E+01 2.70000E+01 4.72954E-02 8.60631E-05 4.72094E-02
2.70000E+01 2.80000E+01 4.80084E-02 8.41890E-05 4.79242E-02
2.80000E+01 2.90000E+01 4.86657E-02 8.23521E-05 4.85833E-02
2.90000E+01 3.00000E+01 4.92692E-02 8.05517E-05 4.91887E-02
