# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 8.60964E+01 8.57939E+01 3.02439E-01
4.00000E+00 5.00000E+00 8.01013E+01 7.97397E+01 3.61538E-01
5.00000E+00 6.00000E+00 7.44928E+01 7.40822E+01 4.10617E-01
6.00000E+00 7.00000E+00 6.92482E+01 6.87975E+01 4.50721E-01
7.00000E+00 8.00000E+00 6.43458E+01 6.38630E+01 4.82807E-01
8.00000E+00 9.00000E+00 5.97650E+01 5.92573E+01 5.07753E-01
9.00000E+00 1.00000E+01 5.54864E+01 5.49600E+01 5.26359E-01
1.00000E+01 1.10000E+01 5.14916E+01 5.09522E+01 5.39360E-01
1.10000E+01 1.20000E+01 4.77634E+01 4.72160E+01 5.47422E-01
1.20000E+01 1.30000E+01 4.42853E+01 4.37342E+01 5.51153E-01
1.30000E+01 1.40000E+01 4.10420E+01 4.04909E+01 5.51106E-01
1.40000E+01 1.50000E+01 3.80186E+01 3.74708E+01 5.47780E-01
1.50000E+01 1.60000E+01 3.52014E+01 3.46598E+01 5.41629E-01
1.60000E+01 1.70000E+01 3.25776E+01 3.20445E+01 5.33064E-01
1.70000E+01 1.80000E+01 3.01348E+01 2.96124E+01 5.22455E-01
1.80000E+01 1.90000E+01 2.78615E+01 2.73514E+01 5.10133E-01
1.90000E+01 2.00000E+01 2.57468E+01 2.52504E+01 4.96397E-01
2.00000E+01 2.10000E+01 2.37804E+01 2.32989E+01 4.81514E-01
2.10000E+01 2.20000E+01 2.19528E+01 2.14870E+01 4.65723E-01
2.20000E+01 2.30000E+01 2.02548E+01 1.98056E+01 4.49235E-01
2.30000E+01 2.40000E+01 1.86780E+01 1.82458E+01 4.32241E-01
2.40000E+01 2.50000E+01 1.72145E+01 1.67996E+01 4.14906E-01
2.50000E+01 2.60000E+01 1.58566E+01 1.54592E+01 3.97377E-01
2.60000E+01 2.70000E+01 1.45973E+01 1.42175E+01 3.79783E-01
2.70000E+01 2.80000E+01 1.34300E+01 1.30678E+01 3.62234E-01
2.80000E+01 2.90000E+01 1.23485E+01 1.20037E+01 3.44829E-01
2.90000E+01 3.00000E+01 1.13470E+01 1.10194E+01 3.27651E-01
