# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 8.58324E+00 8.26895E+00 3.14296E-01
4.00000E+00 5.00000E+00 8.19135E+00 7.80960E+00 3.81752E-01
5.00000E+00 6.00000E+00 7.81423E+00 7.37362E+00 4.40610E-01
6.00000E+00 7.00000E+00 7.45146E+00 6.95990E+00 4.91557E-01
7.00000E+00 8.00000E+00 7.10265E+00 6.56741E+00 5.35234E-01
8.00000E+00 9.00000E+00 6.76738E+00 6.19514E+00 5.72241E-01
9.00000E+00 1.00000E+01 6.44525E+00 5.84211E+00 6.03138E-01
1.00000E+01 1.10000E+01 6.13587E+00 5.50742E+00 6.28449E-01
1.10000E+01 1.20000E+01 5.83883E+00 5.19017E+00 6.48661E-01
1.20000E+01 1.30000E+01 5.55376E+00 4.88953E+00 6.64229E-01
1.30000E+01 1.40000E+01 5.28029E+00 4.60471E+00 6.75580E-01
1.40000E+01 1.50000E+01 5.01804E+00 4.33493E+00 6.83109E-01
1.50000E+01 1.60000E+01 4.76664E+00 4.07946E+00 6.87182E-01
1.60000E+01 1.70000E+01 4.52574E+00 3.83760E+00 6.88141E-01
1.70000E+01 1.80000E+01 4.29500E+00 3.60869E+00 6.86304E-01
1.80000E+01 1.90000E+01 4.07406E+00 3.39210E+00 6.81966E-01
1.90000E+01 2.00000E+01 3.86261E+00 3.18721E+00 6.75399E-01
2.00000E+01 2.10000E+01 3.66031E+00 2.99345E+00 6.66858E-01
2.10000E+01 2.20000E+01 3.46683E+00 2.81026E+00 6.56576E-01
2.20000E+01 2.30000E+01 3.28188E+00 2.63712E+00 6.44768E-01
2.30000E+01 2.40000E+01 3.10515E+00 2.47352E+00 6.31633E-01
2.40000E+01 2.50000E+01 2.93634E+00 2.31898E+00 6.17356E-01
2.50000E+01 2.60000E+01 2.77516E+00 2.17305E+00 6.02106E-01
2.60000E+01 2.70000E+01 2.62133E+00 2.03529E+00 5.86036E-01
2.70000E+01 2.80000E+01 2.47458E+00 1.90529E+00 5.69291E-01
2.80000E+01 2.90000E+01 2.33464E+00 1.78264E+00 5.52000E-01
2.90000E+01 3.00000E+01 2.20126E+00 1.66698E+00 5.34282E-01
