# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 2.25694E+01 2.25670E+01 2.44570E-03
4.00000E+00 5.00000E+00 2.13316E+01 2.13287E+01 2.97273E-03
5.00000E+00 6.00000E+00 2.01559E+01 2.01525E+01 3.43353E-03
6.00000E+00 7.00000E+00 1.90394E+01 1.90355E+01 3.83331E-03
7.00000E+00 8.00000E+00 1.79792E+01 1.79751E+01 4.17693E-03
8.00000E+00 9.00000E+00 1.69729E+01 1.69685E+01 4.46897E-03
9.00000E+00 1.00000E+01 1.60179E+01 1.60132E+01 4.71370E-03
1.00000E+01 1.10000E+01 1.51118E+01 1.51068E+01 4.91510E-03
1.10000E+01 1.20000E+01 1.42522E+01 1.42471E+01 5.07690E-03
1.20000E+01 1.30000E+01 1.34369E+01 1.34317E+01 5.20258E-03
1.30000E+01 1.40000E+01 1.26639E+01 1.26586E+01 5.29539E-03
1.40000E+01 1.50000E+01 1.19312E+01 1.19258E+01 5.35835E-03
1.50000E+01 1.60000E+01 1.12367E+01 1.12313E+01 5.39430E-03
1.60000E+01 1.70000E+01 1.05787E+01 1.05733E+01 5.40586E-03
1.70000E+01 1.80000E+01 9.95547E+00 9.95007E+00 5.39546E-03
1.80000E+01 1.90000E+01 9.36524E+00 9.35987E+00 5.36537E-03
1.90000E+01 2.00000E+01 8.80644E+00 8.80112E+00 5.31769E-03
2.00000E+01 2.10000E+01 8.27754E+00 8.27228E+00 5.25439E-03
2.10000E+01 2.20000E+01 7.77708E+00 7.77190E+00 5.17727E-03
2.20000E+01 2.30000E+01 7.30367E+00 7.29859E+00 5.08801E-03
2.30000E+01 2.40000E+01 6.85598E+00 6.85100E+00 4.98815E-03
2.40000E+01 2.50000E+01 6.43274E+00 6.42786E+00 4.87911E-03
2.50000E+01 2.60000E+01 6.03272E+00 6.02796E+00 4.76221E-03
2.60000E+01 2.70000E+01 5.65478E+00 5.65014E+00 4.63866E-03
2.70000E+01 2.80000E+01 5.29780E+00 5.29329E+00 4.50957E-03
2.80000E+01 2.90000E+01 4.96074E+00 4.95636E+00 4.37596E-03
2.90000E+01 3.00000E+01 4.64259E+00 4.63835E+00 4.23877E-03
