# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 1.25227E+01 6.65001E+00 5.87270E+00
6.00000E+00 7.00000E+00 1.17753E+01 5.76095E+00 6.01436E+00
7.00000E+00 8.00000E+00 1.09770E+01 4.97855E+00 5.99850E+00
8.00000E+00 9.00000E+00 1.01553E+01 4.29262E+00 5.86266E+00
9.00000E+00 1.00000E+01 9.33177E+00 3.69336E+00 5.63842E+00
1.00000E+01 1.10000E+01 8.52325E+00 3.17141E+00 5.35183E+00
1.10000E+01 1.20000E+01 7.74239E+00 2.71814E+00 5.02425E+00
1.20000E+01 1.30000E+01 6.99825E+00 2.32554E+00 4.67271E+00
1.30000E+01 1.40000E+01 6.29702E+00 1.98632E+00 4.31070E+00
1.40000E+01 1.50000E+01 5.64249E+00 1.69389E+00 3.94860E+00
1.50000E+01 1.60000E+01 5.03658E+00 1.44233E+00 3.59425E+00
1.60000E+01 1.70000E+01 4.47969E+00 1.22635E+00 3.25334E+00
1.70000E+01 1.80000E+01 3.97113E+00 1.04126E+00 2.92987E+00
1.80000E+01 1.90000E+01 3.50934E+00 8.82929E-01 2.62641E+00
1.90000E+01 2.00000E+01 3.09216E+00 7.47702E-01 2.34446E+00
2.00000E+01 2.10000E+01 2.71702E+00 6.32387E-01 2.08463E+00
2.10000E+01 2.20000E+01 2.38111E+00 5.34199E-01 1.84691E+00
2.20000E+01 2.30000E+01 2.08148E+00 4.50709E-01 1.63077E+00
2.30000E+01 2.40000E+01 1.81517E+00 3.79811E-01 1.43536E+00
2.40000E+01 2.50000E+01 1.57924E+00 3.19682E-01 1.25956E+00
2.50000E+01 2.60000E+01 1.37087E+00 2.68749E-01 1.10212E+00
2.60000E+01 2.70000E+01 1.18735E+00 2.25653E-01 9.61694E-01
2.70000E+01 2.80000E+01 1.02614E+00 1.89230E-01 8.36909E-01
2.80000E+01 2.90000E+01 8.84879E-01 1.58478E-01 7.26401E-01
2.90000E+01 3.00000E+01 7.61384E-01 1.32541E-01 6.28843E-01
