# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 4.95396E+01 4.93015E+01 2.38090E-01
6.00000E+00 7.00000E+00 4.84905E+01 4.82153E+01 2.75194E-01
7.00000E+00 8.00000E+00 4.74604E+01 4.71499E+01 3.10527E-01
8.00000E+00 9.00000E+00 4.64492E+01 4.61051E+01 3.44142E-01
9.00000E+00 1.00000E+01 4.54566E+01 4.50805E+01 3.76090E-01
1.00000E+01 1.10000E+01 4.44824E+01 4.40759E+01 4.06423E-01
1.10000E+01 1.20000E+01 4.35262E+01 4.30910E+01 4.35189E-01
1.20000E+01 1.30000E+01 4.25879E+01 4.21255E+01 4.62438E-01
1.30000E+01 1.40000E+01 4.16672E+01 4.11790E+01 4.88217E-01
1.40000E+01 1.50000E+01 4.07639E+01 4.02513E+01 5.12573E-01
1.50000E+01 1.60000E+01 3.98778E+01 3.93422E+01 5.35552E-01
1.60000E+01 1.70000E+01 3.90085E+01 3.84513E+01 5.57199E-01
1.70000E+01 1.80000E+01 3.81560E+01 3.75784E+01 5.77556E-01
1.80000E+01 1.90000E+01 3.73199E+01 3.67233E+01 5.96668E-01
1.90000E+01 2.00000E+01 3.65001E+01 3.58855E+01 6.14576E-01
2.00000E+01 2.10000E+01 3.56962E+01 3.50648E+01 6.31320E-01
2.10000E+01 2.20000E+01 3.49079E+01 3.42610E+01 6.46940E-01
2.20000E+01 2.30000E+01 3.41351E+01 3.34737E+01 6.61475E-01
2.30000E+01 2.40000E+01 3.33776E+01 3.27027E+01 6.74963E-01
2.40000E+01 2.50000E+01 3.26352E+01 3.19477E+01 6.87443E-01
2.50000E+01 2.60000E+01 3.19075E+01 3.12085E+01 6.98949E-01
2.60000E+01 2.70000E+01 3.11943E+01 3.04848E+01 7.09516E-01
2.70000E+01 2.80000E+01 3.04955E+01 2.97763E+01 7.19180E-01
2.80000E+01 2.90000E+01 2.98107E+01 2.90828E+01 7.27974E-01
2.90000E+01 3.00000E+01 2.91398E+01 2.84039E+01 7.35929E-01
