# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 4.30899E+00 1.42628E-03 4.30756E+00
4.00000E+00 5.00000E+00 5.23751E+00 1.34811E-03 5.23616E+00
5.00000E+00 6.00000E+00 6.04950E+00 1.27385E-03 6.04822E+00
6.00000E+00 7.00000E+00 6.75410E+00 1.20333E-03 6.75290E+00
7.00000E+00 8.00000E+00 7.35988E+00 1.13637E-03 7.35874E+00
8.00000E+00 9.00000E+00 7.87486E+00 1.07281E-03 7.87379E+00
9.00000E+00 1.00000E+01 8.30654E+00 1.01248E-03 8.30553E+00
1.00000E+01 1.10000E+01 8.66195E+00 9.55243E-04 8.66099E+00
1.10000E+01 1.20000E+01 8.94762E+00 9.00941E-04 8.94672E+00
1.20000E+01 1.30000E+01 9.16969E+00 8.49439E-04 9.16884E+00
1.30000E+01 1.40000E+01 9.33385E+00 8.00603E-04 9.33305E+00
1.40000E+01 1.50000E+01 9.44543E+00 7.54307E-04 9.44468E+00
1.50000E+01 1.60000E+01 9.50941E+00 7.10430E-04 9.50870E+00
1.60000E+01 1.70000E+01 9.53040E+00 6.68856E-04 9.52974E+00
1.70000E+01 1.80000E+01 9.51270E+00 6.29474E-04 9.51207E+00
1.80000E+01 1.90000E+01 9.46028E+00 5.92178E-04 9.45969E+00
1.90000E+01 2.00000E+01 9.37686E+00 5.56866E-04 9.37630E+00
2.00000E+01 2.10000E+01 9.26587E+00 5.23442E-04 9.26534E+00
2.10000E+01 2.20000E+01 9.13049E+00 4.91815E-04 9.13000E+00
2.20000E+01 2.30000E+01 8.97368E+00 4.61896E-04 8.97322E+00
2.30000E+01 2.40000E+01 8.79816E+00 4.33601E-04 8.79773E+00
2.40000E+01 2.50000E+01 8.60643E+00 4.06849E-04 8.60603E+00
2.50000E+01 2.60000E+01 8.40082E+00 3.81565E-04 8.40044E+00
2.60000E+01 2.70000E+01 8.18344E+00 3.57675E-04 8.18309E+00
2.70000E+01 2.80000E+01 7.95627E+00 3.35109E-04 7.95593E+00
2.80000E+01 2.90000E+01 7.72109E+00 3.13802E-04 7.72077E+00
2.90000E+01 3.00000E+01 7.47955E+00 2.93688E-04 7.47925E+00
