# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 1.49224E+03 1.46564E+03 2.65997E+01
6.00000E+00 7.00000E+00 1.41346E+03 1.38378E+03 2.96840E+01
7.00000E+00 8.00000E+00 1.33810E+03 1.30578E+03 3.23232E+01
8.00000E+00 9.00000E+00 1.26609E+03 1.23154E+03 3.45526E+01
9.00000E+00 1.00000E+01 1.19734E+03 1.16094E+03 3.64058E+01
1.00000E+01 1.10000E+01 1.13176E+03 1.09385E+03 3.79144E+01
1.10000E+01 1.20000E+01 1.06926E+03 1.03015E+03 3.91087E+01
1.20000E+01 1.30000E+01 1.00974E+03 9.69726E+02 4.00172E+01
1.30000E+01 1.40000E+01 9.53111E+02 9.12444E+02 4.06668E+01
1.40000E+01 1.50000E+01 8.99264E+02 8.58181E+02 4.10825E+01
1.50000E+01 1.60000E+01 8.48098E+02 8.06810E+02 4.12878E+01
1.60000E+01 1.70000E+01 7.99511E+02 7.58207E+02 4.13046E+01
1.70000E+01 1.80000E+01 7.53413E+02 7.12259E+02 4.11538E+01
1.80000E+01 1.90000E+01 7.09695E+02 6.68841E+02 4.08540E+01
1.90000E+01 2.00000E+01 6.68258E+02 6.27835E+02 4.04228E+01
2.00000E+01 2.10000E+01 6.29013E+02 5.89136E+02 3.98768E+01
2.10000E+01 2.20000E+01 5.91861E+02 5.52630E+02 3.92310E+01
2.20000E+01 2.30000E+01 5.56709E+02 5.18210E+02 3.84989E+01
2.30000E+01 2.40000E+01 5.23468E+02 4.85775E+02 3.76935E+01
2.40000E+01 2.50000E+01 4.92047E+02 4.55221E+02 3.68261E+01
2.50000E+01 2.60000E+01 4.62362E+02 4.26455E+02 3.59074E+01
2.60000E+01 2.70000E+01 4.34331E+02 3.99384E+02 3.49471E+01
2.70000E+01 2.80000E+01 4.07874E+02 3.73921E+02 3.39538E+01
2.80000E+01 2.90000E+01 3.82913E+02 3.49978E+02 3.29355E+01
2.90000E+01 3.00000E+01 3.59374E+02 3.27474E+02 3.18993E+01
