# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 3.57427E+00 3.55625E+00 1.80175E-02
6.00000E+00 7.00000E+00 3.47021E+00 3.44956E+00 2.06560E-02
7.00000E+00 8.00000E+00 3.36870E+00 3.34558E+00 2.31167E-02
8.00000E+00 9.00000E+00 3.26969E+00 3.24429E+00 2.54066E-02
9.00000E+00 1.00000E+01 3.17315E+00 3.14562E+00 2.75329E-02
1.00000E+01 1.10000E+01 3.07905E+00 3.04955E+00 2.95024E-02
1.10000E+01 1.20000E+01 2.98733E+00 2.95601E+00 3.13217E-02
1.20000E+01 1.30000E+01 2.89797E+00 2.86497E+00 3.29974E-02
1.30000E+01 1.40000E+01 2.81092E+00 2.77638E+00 3.45357E-02
1.40000E+01 1.50000E+01 2.72613E+00 2.69018E+00 3.59427E-02
1.50000E+01 1.60000E+01 2.64357E+00 2.60634E+00 3.72245E-02
1.60000E+01 1.70000E+01 2.56319E+00 2.52481E+00 3.83868E-02
1.70000E+01 1.80000E+01 2.48496E+00 2.44553E+00 3.94352E-02
1.80000E+01 1.90000E+01 2.40884E+00 2.36846E+00 4.03752E-02
1.90000E+01 2.00000E+01 2.33476E+00 2.29355E+00 4.12120E-02
2.00000E+01 2.10000E+01 2.26271E+00 2.22076E+00 4.19506E-02
2.10000E+01 2.20000E+01 2.19263E+00 2.15003E+00 4.25960E-02
2.20000E+01 2.30000E+01 2.12448E+00 2.08132E+00 4.31529E-02
2.30000E+01 2.40000E+01 2.05822E+00 2.01460E+00 4.36260E-02
2.40000E+01 2.50000E+01 1.99382E+00 1.94980E+00 4.40197E-02
2.50000E+01 2.60000E+01 1.93122E+00 1.88689E+00 4.43383E-02
2.60000E+01 2.70000E+01 1.87040E+00 1.82581E+00 4.45858E-02
2.70000E+01 2.80000E+01 1.81130E+00 1.76653E+00 4.47662E-02
2.80000E+01 2.90000E+01 1.75389E+00 1.70901E+00 4.48835E-02
2.90000E+01 3.00000E+01 1.69813E+00 1.65319E+00 4.49412E-02
