    0.116897226757006160E+04    0.429009884115929445E-03    0.474129156891637837E+01   -0.124460462013887252E+02
    0.215255721608419321E+03    0.160116726210831267E-03    0.233194232922306321E+01   -0.115767244299360925E+02
    0.807105669291057524E+02    0.622824790041334340E-04    0.210586914447434648E+01   -0.106937093480124474E+02
    0.396231021075381932E+04    0.734067132893218054E-03    0.904262364970981203E+01   -0.106923893717350609E+02
    0.141880905940024491E+03    0.115618644199094083E-03    0.212414596716975002E+01   -0.106094524336403708E+02
    0.146988688991950312E+03    0.120718283917437715E-03    0.212424947897283145E+01   -0.102086044584170565E+02
    0.144498764537756301E+04    0.459233641060070559E-03    0.555887026634202375E+01   -0.101728989880494680E+02
    0.764182191222807035E+02    0.764890037332984933E-04    0.206862408609997228E+01   -0.100983460646250194E+02
    0.272646574191965283E+04    0.645288228776441306E-03    0.735487792900635728E+01   -0.100908328218671102E+02
    0.415384264561725161E+03    0.252019513186320886E-03    0.306556933001473775E+01   -0.987265023154142796E+01
    0.213848524517124474E+03    0.159619736736461257E-03    0.234086944288175669E+01   -0.985482664201001057E+01
    0.877604010914679407E+02    0.904517536285483794E-04    0.190797949003286749E+01   -0.972712911765344757E+01
    0.590747346542140349E+04    0.919900556677397834E-03    0.109604113323011294E+02   -0.971912071309472481E+01
    0.945719699433523601E+04    0.117722891166461272E-02    0.138209713298145278E+02   -0.970395774593598048E+01
    0.364373455788299952E+04    0.721240505650922012E-03    0.861215698491065851E+01   -0.970074815509801169E+01
    0.290169963105521538E+04    0.654562281680147223E-03    0.763920914813800156E+01   -0.962671749008720212E+01
    0.502096588034817728E+03    0.254006377220684411E-03    0.341183653192400183E+01   -0.961485611988845790E+01
    0.137882553499435261E+03    0.119740747892945249E-03    0.205633805003064518E+01   -0.957702389778498286E+01
    0.280043985650581305E+03    0.204361483502841975E-03    0.262487953276869046E+01   -0.944980269002925866E+01
    0.776390699613508133E+02    0.697795096662402661E-04    0.197774099550284843E+01   -0.944461426204199483E+01
    0.431758205572957081E+03    0.256075150696964107E-03    0.303920940410420659E+01   -0.928709801984811634E+01
    0.676228329821416310E+03    0.318174007114113342E-03    0.374711452025964897E+01   -0.926785022149098836E+01
    0.240414823710832906E+03    0.179040964867921529E-03    0.239445981285579590E+01   -0.925281936622658918E+01
    0.617508539344816086E+03    0.305847617610027886E-03    0.363625987236400405E+01   -0.920408365926240890E+01
    0.804434090878840919E+02    0.727666895618142389E-04    0.209383990720899726E+01   -0.918376080867321321E+01
    0.123278754707195344E+04    0.422868621650763111E-03    0.505215669364021558E+01   -0.914020915456146099E+01
    0.133137435656916949E+03    0.134066518379247635E-03    0.196279364557374025E+01   -0.913885089838751696E+01
    0.601634546049571554E+03    0.287520135737220602E-03    0.369537158151281497E+01   -0.910626552190839789E+01
    0.160589489357550093E+03    0.147768354404621751E-03    0.221449018114239493E+01   -0.909119168381627674E+01
    0.109932410161791552E+03    0.124701656814396421E-03    0.195475000803706567E+01   -0.903469838980865347E+01
    0.342263267516320639E+03    0.226031102862415788E-03    0.283608354859473577E+01   -0.897404514396825448E+01
    0.431817851419451699E+03    0.236005624865754152E-03    0.318810812860580572E+01   -0.894630503988898340E+01
    0.931881633142308203E+02    0.751765259223425138E-04    0.207797106391656783E+01   -0.886008580627364495E+01
    0.544825676844135273E+03    0.285791026201849855E-03    0.341343152810409656E+01   -0.876614067790157492E+01
    0.419610206556166531E+03    0.246819631409887763E-03    0.311587396290572238E+01   -0.875905931237409163E+01
    0.396849152335892370E+03    0.232792120259188028E-03    0.308169366010632784E+01   -0.870502933113058930E+01
    0.603532210197521408E+03    0.297741803576839369E-03    0.357875959773884134E+01   -0.867185704366337973E+01
    0.839099718020517855E+02    0.763686970453738656E-04    0.196422946858698011E+01   -0.862531477595686624E+01
