# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 3.12706E+01 9.19112E+00 2.20795E+01
6.00000E+00 7.00000E+00 2.73179E+01 7.11309E+00 2.02048E+01
7.00000E+00 8.00000E+00 2.34298E+01 5.47580E+00 1.79540E+01
8.00000E+00 9.00000E+00 1.97887E+01 4.19512E+00 1.55936E+01
9.00000E+00 1.00000E+01 1.64960E+01 3.19977E+00 1.32963E+01
1.00000E+01 1.10000E+01 1.35958E+01 2.43056E+00 1.11653E+01
1.10000E+01 1.20000E+01 1.10938E+01 1.83916E+00 9.25466E+00
1.20000E+01 1.30000E+01 8.97140E+00 1.38654E+00 7.58486E+00
1.30000E+01 1.40000E+01 7.19610E+00 1.04160E+00 6.15449E+00
1.40000E+01 1.50000E+01 5.72871E+00 7.79735E-01 4.94898E+00
1.50000E+01 1.60000E+01 4.52821E+00 5.81634E-01 3.94658E+00
1.60000E+01 1.70000E+01 3.55477E+00 4.32262E-01 3.12251E+00
1.70000E+01 1.80000E+01 2.77162E+00 3.19976E-01 2.45164E+00
1.80000E+01 1.90000E+01 2.14592E+00 2.35809E-01 1.91011E+00
1.90000E+01 2.00000E+01 1.64909E+00 1.72888E-01 1.47620E+00
2.00000E+01 2.10000E+01 1.25675E+00 1.25969E-01 1.13078E+00
2.10000E+01 2.20000E+01 9.48444E-01 9.10666E-02 8.57377E-01
2.20000E+01 2.30000E+01 7.07214E-01 6.51638E-02 6.42050E-01
2.30000E+01 2.40000E+01 5.19178E-01 4.59828E-02 4.73196E-01
2.40000E+01 2.50000E+01 3.73086E-01 3.18108E-02 3.41275E-01
2.50000E+01 2.60000E+01 2.59887E-01 2.13628E-02 2.38524E-01
2.60000E+01 2.70000E+01 1.72359E-01 1.36775E-02 1.58681E-01
2.70000E+01 2.80000E+01 1.04779E-01 8.03784E-03 9.67415E-02
2.80000E+01 2.90000E+01 5.26465E-02 3.91036E-03 4.87362E-02
2.90000E+01 3.00000E+01 6.77942E-03 5.00826E-04 6.28705E-03
