# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 8.54303E-02 3.14667E-02 5.39636E-02
6.00000E+00 7.00000E+00 4.88424E-02 1.61229E-02 3.27195E-02
7.00000E+00 8.00000E+00 2.70679E-02 8.09508E-03 1.89728E-02
8.00000E+00 9.00000E+00 1.44993E-02 3.96382E-03 1.05355E-02
9.00000E+00 1.00000E+01 7.41750E-03 1.86766E-03 5.54984E-03
1.00000E+01 1.10000E+01 3.50074E-03 8.17229E-04 2.68351E-03
1.10000E+01 1.20000E+01 1.36215E-03 2.96741E-04 1.06541E-03
1.20000E+01 1.30000E+01 2.00658E-04 4.14576E-05 1.59200E-04
1.30000E+01 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.40000E+01 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.50000E+01 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.60000E+01 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.70000E+01 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.80000E+01 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.90000E+01 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E+01 2.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.10000E+01 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.20000E+01 2.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.30000E+01 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.40000E+01 2.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.50000E+01 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.60000E+01 2.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.70000E+01 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.80000E+01 2.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.90000E+01 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
