# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 8.64474E+00 2.95454E-02 8.61519E+00
4.00000E+00 5.00000E+00 1.03711E+01 2.75807E-02 1.03435E+01
5.00000E+00 6.00000E+00 1.18252E+01 2.57372E-02 1.17994E+01
6.00000E+00 7.00000E+00 1.30336E+01 2.40079E-02 1.30096E+01
7.00000E+00 8.00000E+00 1.40209E+01 2.23865E-02 1.39985E+01
8.00000E+00 9.00000E+00 1.48096E+01 2.08665E-02 1.47887E+01
9.00000E+00 1.00000E+01 1.54205E+01 1.94422E-02 1.54010E+01
1.00000E+01 1.10000E+01 1.58726E+01 1.81080E-02 1.58545E+01
1.10000E+01 1.20000E+01 1.61835E+01 1.68586E-02 1.61667E+01
1.20000E+01 1.30000E+01 1.63692E+01 1.56890E-02 1.63535E+01
1.30000E+01 1.40000E+01 1.64443E+01 1.45944E-02 1.64297E+01
1.40000E+01 1.50000E+01 1.64222E+01 1.35705E-02 1.64087E+01
1.50000E+01 1.60000E+01 1.63153E+01 1.26130E-02 1.63027E+01
1.60000E+01 1.70000E+01 1.61345E+01 1.17179E-02 1.61228E+01
1.70000E+01 1.80000E+01 1.58900E+01 1.08815E-02 1.58792E+01
1.80000E+01 1.90000E+01 1.55910E+01 1.01001E-02 1.55809E+01
1.90000E+01 2.00000E+01 1.52459E+01 9.37049E-03 1.52365E+01
2.00000E+01 2.10000E+01 1.48621E+01 8.68942E-03 1.48534E+01
2.10000E+01 2.20000E+01 1.44465E+01 8.05392E-03 1.44384E+01
2.20000E+01 2.30000E+01 1.40051E+01 7.46117E-03 1.39977E+01
2.30000E+01 2.40000E+01 1.35435E+01 6.90851E-03 1.35366E+01
2.40000E+01 2.50000E+01 1.30665E+01 6.39342E-03 1.30601E+01
2.50000E+01 2.60000E+01 1.25786E+01 5.91355E-03 1.25727E+01
2.60000E+01 2.70000E+01 1.20835E+01 5.46668E-03 1.20781E+01
2.70000E+01 2.80000E+01 1.15849E+01 5.05071E-03 1.15798E+01
2.80000E+01 2.90000E+01 1.10856E+01 4.66366E-03 1.10810E+01
2.90000E+01 3.00000E+01 1.05885E+01 4.30369E-03 1.05842E+01
