# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 2.59966E-02 1.26172E-02 1.33794E-02
6.00000E+00 7.00000E+00 2.67327E-02 1.18634E-02 1.48693E-02
7.00000E+00 8.00000E+00 2.72713E-02 1.11478E-02 1.61236E-02
8.00000E+00 9.00000E+00 2.76313E-02 1.04691E-02 1.71622E-02
9.00000E+00 1.00000E+01 2.78306E-02 9.82615E-03 1.80044E-02
1.00000E+01 1.10000E+01 2.78857E-02 9.21762E-03 1.86681E-02
1.10000E+01 1.20000E+01 2.78127E-02 8.64220E-03 1.91705E-02
1.20000E+01 1.30000E+01 2.76259E-02 8.09857E-03 1.95274E-02
1.30000E+01 1.40000E+01 2.73392E-02 7.58540E-03 1.97538E-02
1.40000E+01 1.50000E+01 2.69649E-02 7.10133E-03 1.98635E-02
1.50000E+01 1.60000E+01 2.65146E-02 6.64505E-03 1.98696E-02
1.60000E+01 1.70000E+01 2.59995E-02 6.21536E-03 1.97841E-02
1.70000E+01 1.80000E+01 2.54288E-02 5.81087E-03 1.96180E-02
1.80000E+01 1.90000E+01 2.48119E-02 5.43042E-03 1.93814E-02
1.90000E+01 2.00000E+01 2.41569E-02 5.07282E-03 1.90841E-02
2.00000E+01 2.10000E+01 2.34713E-02 4.73688E-03 1.87344E-02
2.10000E+01 2.20000E+01 2.27617E-02 4.42148E-03 1.83402E-02
2.20000E+01 2.30000E+01 2.20342E-02 4.12553E-03 1.79087E-02
2.30000E+01 2.40000E+01 2.12943E-02 3.84796E-03 1.74464E-02
2.40000E+01 2.50000E+01 2.05469E-02 3.58779E-03 1.69591E-02
2.50000E+01 2.60000E+01 1.97964E-02 3.34406E-03 1.64523E-02
2.60000E+01 2.70000E+01 1.90466E-02 3.11582E-03 1.59307E-02
2.70000E+01 2.80000E+01 1.83008E-02 2.90220E-03 1.53986E-02
2.80000E+01 2.90000E+01 1.75621E-02 2.70236E-03 1.48597E-02
2.90000E+01 3.00000E+01 1.68330E-02 2.51548E-03 1.43175E-02
