# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 1.91901E+01 4.11643E-02 1.91490E+01
4.00000E+00 5.00000E+00 2.24458E+01 3.74491E-02 2.24083E+01
5.00000E+00 6.00000E+00 2.49387E+01 3.40440E-02 2.49046E+01
6.00000E+00 7.00000E+00 2.67728E+01 3.09259E-02 2.67419E+01
7.00000E+00 8.00000E+00 2.80413E+01 2.80731E-02 2.80132E+01
8.00000E+00 9.00000E+00 2.88270E+01 2.54652E-02 2.88015E+01
9.00000E+00 1.00000E+01 2.92039E+01 2.30832E-02 2.91808E+01
1.00000E+01 1.10000E+01 2.92372E+01 2.09092E-02 2.92163E+01
1.10000E+01 1.20000E+01 2.89847E+01 1.89267E-02 2.89658E+01
1.20000E+01 1.30000E+01 2.84972E+01 1.71202E-02 2.84801E+01
1.30000E+01 1.40000E+01 2.78193E+01 1.54755E-02 2.78038E+01
1.40000E+01 1.50000E+01 2.69897E+01 1.39790E-02 2.69757E+01
1.50000E+01 1.60000E+01 2.60424E+01 1.26185E-02 2.60298E+01
1.60000E+01 1.70000E+01 2.50064E+01 1.13826E-02 2.49950E+01
1.70000E+01 1.80000E+01 2.39067E+01 1.02606E-02 2.38965E+01
1.80000E+01 1.90000E+01 2.27649E+01 9.24267E-03 2.27557E+01
1.90000E+01 2.00000E+01 2.15993E+01 8.32000E-03 2.15910E+01
2.00000E+01 2.10000E+01 2.04252E+01 7.48420E-03 2.04177E+01
2.10000E+01 2.20000E+01 1.92552E+01 6.72756E-03 1.92485E+01
2.20000E+01 2.30000E+01 1.81001E+01 6.04312E-03 1.80940E+01
2.30000E+01 2.40000E+01 1.69686E+01 5.42446E-03 1.69631E+01
2.40000E+01 2.50000E+01 1.58675E+01 4.86559E-03 1.58626E+01
2.50000E+01 2.60000E+01 1.48022E+01 4.36111E-03 1.47979E+01
2.60000E+01 2.70000E+01 1.37771E+01 3.90604E-03 1.37732E+01
2.70000E+01 2.80000E+01 1.27950E+01 3.49583E-03 1.27915E+01
2.80000E+01 2.90000E+01 1.18581E+01 3.12630E-03 1.18550E+01
2.90000E+01 3.00000E+01 1.09679E+01 2.79367E-03 1.09651E+01
