# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 2.30638E+01 1.59226E+01 7.14119E+00
6.00000E+00 7.00000E+00 1.85301E+01 1.21085E+01 6.42154E+00
7.00000E+00 8.00000E+00 1.47600E+01 9.15531E+00 5.60465E+00
8.00000E+00 9.00000E+00 1.16656E+01 6.88633E+00 4.77926E+00
9.00000E+00 1.00000E+01 9.15442E+00 5.15489E+00 3.99953E+00
1.00000E+01 1.10000E+01 7.13664E+00 3.84161E+00 3.29503E+00
1.10000E+01 1.20000E+01 5.52947E+00 2.85087E+00 2.67860E+00
1.20000E+01 1.30000E+01 4.25936E+00 2.10711E+00 2.15225E+00
1.30000E+01 1.40000E+01 3.26265E+00 1.55122E+00 1.71143E+00
1.40000E+01 1.50000E+01 2.48546E+00 1.13744E+00 1.34802E+00
1.50000E+01 1.60000E+01 1.88291E+00 8.30582E-01 1.05233E+00
1.60000E+01 1.70000E+01 1.41823E+00 6.03804E-01 8.14428E-01
1.70000E+01 1.80000E+01 1.06159E+00 4.36746E-01 6.24840E-01
1.80000E+01 1.90000E+01 7.89056E-01 3.14051E-01 4.75005E-01
1.90000E+01 2.00000E+01 5.81634E-01 2.24194E-01 3.57440E-01
2.00000E+01 2.10000E+01 4.24340E-01 1.58564E-01 2.65776E-01
2.10000E+01 2.20000E+01 3.05444E-01 1.10752E-01 1.94693E-01
2.20000E+01 2.30000E+01 2.15834E-01 7.60072E-02 1.39827E-01
2.30000E+01 2.40000E+01 1.48465E-01 5.08212E-02 9.76438E-02
2.40000E+01 2.50000E+01 9.79201E-02 3.26092E-02 6.53109E-02
2.50000E+01 2.60000E+01 6.00566E-02 1.94733E-02 4.05834E-02
2.60000E+01 2.70000E+01 3.17159E-02 1.00227E-02 2.16931E-02
2.70000E+01 2.80000E+01 8.12784E-03 2.51804E-03 5.61705E-03
2.80000E+01 2.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.90000E+01 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
