# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 2.48706E+01 5.17988E+00 1.96907E+01
4.00000E+00 5.00000E+00 2.72149E+01 4.62040E+00 2.25945E+01
5.00000E+00 6.00000E+00 2.87289E+01 4.11656E+00 2.46124E+01
6.00000E+00 7.00000E+00 2.95555E+01 3.66352E+00 2.58920E+01
7.00000E+00 8.00000E+00 2.98191E+01 3.25676E+00 2.65624E+01
8.00000E+00 9.00000E+00 2.96278E+01 2.89205E+00 2.67357E+01
9.00000E+00 1.00000E+01 2.90748E+01 2.56550E+00 2.65093E+01
1.00000E+01 1.10000E+01 2.82399E+01 2.27351E+00 2.59664E+01
1.10000E+01 1.20000E+01 2.71911E+01 2.01273E+00 2.51784E+01
1.20000E+01 1.30000E+01 2.59856E+01 1.78011E+00 2.42054E+01
1.30000E+01 1.40000E+01 2.46715E+01 1.57285E+00 2.30986E+01
1.40000E+01 1.50000E+01 2.32889E+01 1.38841E+00 2.19005E+01
1.50000E+01 1.60000E+01 2.18705E+01 1.22443E+00 2.06460E+01
1.60000E+01 1.70000E+01 2.04433E+01 1.07883E+00 1.93645E+01
1.70000E+01 1.80000E+01 1.90287E+01 9.49665E-01 1.80790E+01
1.80000E+01 1.90000E+01 1.76436E+01 8.35206E-01 1.68084E+01
1.90000E+01 2.00000E+01 1.63012E+01 7.33875E-01 1.55673E+01
2.00000E+01 2.10000E+01 1.50111E+01 6.44257E-01 1.43669E+01
2.10000E+01 2.20000E+01 1.37807E+01 5.65077E-01 1.32156E+01
2.20000E+01 2.30000E+01 1.26146E+01 4.95185E-01 1.21194E+01
2.30000E+01 2.40000E+01 1.15158E+01 4.33549E-01 1.10822E+01
2.40000E+01 2.50000E+01 1.04857E+01 3.79245E-01 1.01064E+01
2.50000E+01 2.60000E+01 9.52434E+00 3.31446E-01 9.19289E+00
2.60000E+01 2.70000E+01 8.63096E+00 2.89410E-01 8.34155E+00
2.70000E+01 2.80000E+01 7.80389E+00 2.52477E-01 7.55141E+00
2.80000E+01 2.90000E+01 7.04089E+00 2.20055E-01 6.82083E+00
2.90000E+01 3.00000E+01 6.33930E+00 1.91621E-01 6.14768E+00
