# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 2.79139E+01 9.49185E-03 2.79044E+01
6.00000E+00 7.00000E+00 2.92079E+01 8.40217E-03 2.91995E+01
7.00000E+00 8.00000E+00 2.97796E+01 7.42327E-03 2.97722E+01
8.00000E+00 9.00000E+00 2.97680E+01 6.54663E-03 2.97614E+01
9.00000E+00 1.00000E+01 2.92940E+01 5.76371E-03 2.92883E+01
1.00000E+01 1.10000E+01 2.84624E+01 5.06636E-03 2.84574E+01
1.10000E+01 1.20000E+01 2.73619E+01 4.44667E-03 2.73575E+01
1.20000E+01 1.30000E+01 2.60675E+01 3.89720E-03 2.60636E+01
1.30000E+01 1.40000E+01 2.46418E+01 3.41100E-03 2.46384E+01
1.40000E+01 1.50000E+01 2.31363E+01 2.98161E-03 2.31333E+01
1.50000E+01 1.60000E+01 2.15927E+01 2.60307E-03 2.15901E+01
1.60000E+01 1.70000E+01 2.00445E+01 2.26991E-03 2.00422E+01
1.70000E+01 1.80000E+01 1.85180E+01 1.97715E-03 1.85160E+01
1.80000E+01 1.90000E+01 1.70334E+01 1.72029E-03 1.70316E+01
1.90000E+01 2.00000E+01 1.56056E+01 1.49523E-03 1.56041E+01
2.00000E+01 2.10000E+01 1.42455E+01 1.29831E-03 1.42442E+01
2.10000E+01 2.20000E+01 1.29602E+01 1.12621E-03 1.29591E+01
2.20000E+01 2.30000E+01 1.17542E+01 9.75999E-04 1.17532E+01
2.30000E+01 2.40000E+01 1.06294E+01 8.45034E-04 1.06286E+01
2.40000E+01 2.50000E+01 9.58617E+00 7.30978E-04 9.58544E+00
2.50000E+01 2.60000E+01 8.62316E+00 6.31751E-04 8.62253E+00
2.60000E+01 2.70000E+01 7.73810E+00 5.45510E-04 7.73755E+00
2.70000E+01 2.80000E+01 6.92789E+00 4.70627E-04 6.92742E+00
2.80000E+01 2.90000E+01 6.18886E+00 4.05667E-04 6.18845E+00
2.90000E+01 3.00000E+01 5.51700E+00 3.49366E-04 5.51665E+00
